Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1950s,kahaa.N hai kahaa.N hai kanhaiyaa -  View,Kanhaiyaa (1959),1959,Shankar-Jaikishan,Hasrat,Lata,,
1950s,o kanhaiyaa aaj aanaa Kvaab me.n -  View,Kanhaiyaa (1959),1959,Shankar-Jaikishan,Hasrat,Lata,,
1950s,saavan aavan kah ga_e ... ho dil me.n samaa ke -  View,Kanhaiyaa (1959),1959,Shankar-Jaikishan,Shailendra,Lata,,
1990s,ik muNDaa merii umr daa haay -  View,Karan Arjun (1994),1994,Rajesh Roshan,Indeevar,Lata,,
1980s,tuu kaun hai meraa kah de baalam pa.Duu.N mai.n tore... -  View,Karz (1980),1980,Naushad,Shakeel,Lata,,
1970s,mai.n piital kii paayaliyaa bhii pahanuu.N jo paa.Nv... -  View,Kasam Khoon Ki (1977),1977,Kalyanji-Anandji,Anjaan,Lata,,
1950s,haa_e tuu hii gayaa mohe bhuul re -  View,Kathputli (1957),1957,Shanker-Jaikishan,Shailendra,Lata,,
1950s,itane ba.De jahaa.n me.n ai dil tujhako akelaa -  View,Kathputli (1957),1957,Shankar-Jaikishan,Shailendra,Lata,,
1950s,so jaa re so jaa mere raajdulaare so jaa -  View,Kathputli (1957),1957,Shanker-Jaikishan,Hasrat Jaipuri,Lata,,
1950s,baaga.D bam bam bam baaje Damaruu -  View,Kathputli (1957),1957,Shankar-Jaikishan,Hasrat,Lata,,
1950s,bol rii kaThaputalii Dorii kaun sa.ng baa.Ndhii -  View,Kathputli (1957),1957,Shankar-Jaikishan,Shailendra,Lata,,
1970s,"na koii uma.ng hai, na koii tara.ng hai -  View",Kati Patang (1970),1970,R D Burman,Anand Bakshi,Lata,,
1950s,mai.n to janam janam kii pyaasii -  View,Kavi Kaalidaas (1959),1959,S N Tripathi,Bharat Vyas,Lata,,
1950s,"shaam bhayii, ghanashyaam na aae -  View",Kavi Kaalidaas (1959),1959,S N Tripathi,Bharat Vyas,Lata,,
1970s,ye mulaaqaat ik bahaanaa hai -  View,Khaandaan (1979),1979,Khayyam,Naqsh Lyallpuri,Lata,,
1960s,ham ne dekhii hai in aa.Nkho.n kii mahakatii khushabuu -  View,Khamoshi (1969),1969,Hemant Kumar,Gulzar,Lata,,
1960s,"tumhii.n mere ma.ndir, tumhii.n merii puujaa -  View",Khandaan (1965),1965,Ravi,Rajinder Krishan,Lata,,
1950s,kar de zaraa ishaaraa -  View,Khazaanaa (1951),1951,C Ramachandra,Rajinder Krishan,Lata,,
1950s,muhabbat pe itanii javaanii na hotii -  View,Khazaanaa (1951),1951,C Ramachandra,Rajinder Krishan,Lata,,
1950s,soyii soyii chaa.Ndanii hai -  View,Khazaanaa (1951),1951,C Ramachandra,Rajinder Krishan,Lata,,
1950s,ai chaa.Nd pyaar meraa tujhase ye kah rahaa hai -  View,Khazaanaa (1951),1951,C Ramachandra,Rajinder Krishan,Lata,,
1950s,jaate ho to jaa_o ham bhii yahaa.N vaado.n ke sahaar... -  View,Khel (1950),1950,Sajjad Hussain,Sagar Nijami,Lata,,
1950s,bhuul jaa ai dil muhabbat kaa fasaanaa -  View,Khel (1950),1950,Sajjad Hussain,Shams Azimabadi,Lata,,
1990s,Kat likhanaa hai ... mujhe tumase muhabbat ho ga_ii ... -  View,Khel (1992),1992,Rajesh Roshan,Javed Akhtar,Lata, Mohammed Aziz,
1950s,dard-e-dil tham jaa zaraa aa.Nsuu bahaane de mujhe -  View,Khiladi (1950),1950,Hansraj Behl,Nakhshab,Lata,,
1970s,agar dilabar kii rusvaa_ii hame.n ma.nzuur ho jaaye -  View,Khilauna (1970),1970,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,do naino.n me.n aa.Nsuu bhare hai.n -  View,Khushboo (1975),1975,R D Burman,Gulzar,Lata,,
1970s,ab ke naa saawan barase -  View,Kinara (1977),1977,R D Burman,Gulzar,Lata,,
1960s,har aas ashkabaar hai har saa.Ns beqaraar hai -  View,Kinare Kinare (1963),1963,Jaidev,Nyay Sharma,Lata,,
1960s,"aaj achaanak TuuT gaye kyo.n, man viinaa ke taar -  View",Kinare Kinare (1963),1963,Jaidev,Nyay Sharma,Lata,,
1960s,sulag uThii dil kii lagii -  View,Kinare Kinare (1963),1963,Jaidev,Nyaya Sharma,Lata,,
1990s,aa_e aa_o taare aasamaa.n ke dharatii pe kisane utaare -  View,King Uncle (1992),1992,Rajesh Roshan,Indeevar,Lata,,
1960s,ko_ii pyaar kii dekhe jaaduugarii -  View,Kohinoor (1960),1960,Naushad,Shakeel,Lata, Rafi,
1960s,"ye kyaa zi.ndagii hai, ye kaisaa jahaa.N hai -  View",Kohinoor (1960),1960,Naushad,Shakeel,Lata,,
1960s,dil kaa afasaanaa sunaate hai.n ... chale.nge tiir j... -  View,Kohinoor (1960),1960,Naushad,Shakeel,Lata, Rafi,
1960s,jhuum jhuum Dhalatii raat -  View,Kohra (1964),1964,Hemant Kumar,Kaifi Azmi,Lata,,
1960s,o beqaraar dil -  View,Kohra (1964),1964,Hemant Kumar,Kaifi Azmi,Lata,,
1970s,meraa pa.Dhane me.n nahii.n laage dil -  View,Kora Kaagaz (1974),1974,Kalyanji-Anandji,M G Hashmat,Lata,,
1970s,ruuThe\-ruuThe piyaa manaa_uu.N kaise -  View,Koraa Kaagaz (1974),1974,Kalyanji-Anandji,M G Hashmat,Lata,,
1980s,pilaa de saaqii milaa ke mujhako ... maaraa Thumakaa... -  View,Kraanti (1981),1981,Laxmikant-Pyarelal,Santosh Anand,Lata,,
1980s,hazaaro.n saal se insaa.N kaa dil ... vo masiihaa aa... -  View,Krodhi (1981),1981,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,o saajanaa na puuchh mujhase pyaar kyaa hai -  View,Krorepati (1961),1961,Shankar-Jaikishan,Shailendra,Lata,,
1980s,tuu ne o ra.Ngiile kaisaa jaaduu kiyaa -  View,Kudrat (1981),1981,R D Burman,Majrooh,Lata,,
1950s,jahaa.N waale hame.n duniyaa me.n kyo.n paidaa kiyaa... -  View,Kundan (1955),1955,Ghulam Mohammad,Shakeel,Lata,,
1950s,merii aa.Nkho.n ke taare dil ke sahaare -  View,Kundan (1955),1955,Ghulam Mohammad,Shakeel,Lata,,
1950s,shikaayat kyaa karuu.N dono.n taraf Gam kaa fasaanaa... -  View,Kundan (1955),1955,Ghulam Mohammad,Shakeel,Lata,,
1950s,ye bahaaro.n ke din ye suhaanaa samaa.N -  View,Kundan (1955),1955,Ghulam Mohammad,Shakeel,Lata, Rafi,
1960s,jaa jaa re suganaa ... laagii naahii.n chhuuTe raamaa -  View,Laagi Nahin Chhute Raam (Bhojpuri-Film) (1963),1963,Chitragupt,Majrooh,Lata, Talat,
1960s,laal\-laal o.nThavaa se barase lala_iiyaa -  View,Laagi Nahin Chhute Raam (Bhojpuri-Film) (1963),1963,Chitragupt,Majrooh,Lata, Talat,
1950s,haay jhilamil jhilamil -  View,Laal Batti (1957),1957,Salil Chowdhury,Majrooh,Lata, Chorus,
1960s,pyaaraa pyaaraa ye samaa hai -  View,Laal Quilaa (1960),1960,S N Tripathi,Bharat Vyas,Lata,,
1940s,Gariibo.n kaa hissaa Gariibo.n ko de do -  View,Ladli (1949),1949,Anil Biswas,Hudda,Lata, Chorus,
1940s,"suno, suno, kaise kah duu.N bajariyaa ke biich -  View",Ladli (1949),1949,Anil Biswas,Naazim Paanipati,Lata,,
1940s,"tumhaare bulaane ko jii chaahataa hai, jii chaahataa... -  View",Ladli (1949),1949,Anil Biswas,Behzad Lucknowi,Lata,,
2000s,o paalanahaare niragun aur nyaare -  View,Lagaan (2001),2001,A R Rahman,Javed Akhtar,Lata, Sadhana Sargam, Udit Nar
1940s,bahaare.n phir bhii aaye.ngii -  View,Lahore (1949),1949,Shyam Sundar,Rajinder Krishan,Lata,,
1940s,bedard zamaane kyaa terii -  View,Lahore (1949),1949,Shyam Sundar,Rajinder Krishan,Lata,,
1940s,duniyaa hamaare pyaar kii yuu.N hii javaa.N rahe -  View,Lahore (1949),1949,Shyam Sundar,Rajinder Krishan,Lata, Karan Divan,
1940s,sun lo sajan ho sun lo sajan merii baat -  View,Lahore (1949),1949,Shyam Sundar,Aziz Kashmiri,Lata, Karan Divan,
1940s,TuuTe hue armaano.n kii ik duniyaa basaaye -  View,Lahore (1949),1949,Shyam Sundar,Rajinder Krishan,Lata,,
1940s,TuuTe hue armaano.n kii ik duniyaa basaaye -  View,Lahore (1949),1949,Shyam Sundar,Rajinder Krishan,Lata,,
1940s,us dil kii qismat kyaa kahiye -  View,Lahore (1949),1949,Shyam Sundar,Rajinder Krishan,Lata,,
1970s,husn haazir hai muhabbat kii sazaa paane ko -  View,Lailaa Majnun (1976),1976,Madan Mohan,Sahir,Lata,,
1970s,is reshamii paazeb kii jha.nkaar ke sadake -  View,Lailaa Majnun (1976),1976,Madan Mohan,Sahir,Lata, Rafi,
1970s,ab agar hamase Kudaa_ii bhii khafaa ho jaa_e -  View,Lailaa Majnun (1976),1976,Madan Mohan,Sahir,Lata, Rafi,
1950s,zamaane kaa dastuur hai ye puraana -  View,Lajawab (1950),1950,Anil Biswas,Prem Dhawan,Lata, Mukesh,
1990s,gu.Diyaa raanii biTiyaa raanii ... raajaku.nvar jii ... -  View,Lamhe (1991),1991,Shiv-Hari,Anand Bakshi,Lata,,
1990s,meghaa re meghaa ... teraa man tarasaa re paanii kyo... -  View,Lamhe (1991),1991,Shiv-Hari,Anand Bakshi,Lata, Chorus,
1990s,mohe chhe.Do na nand ke laalaa mai.n huu.N brajabaalaa -  View,Lamhe (1991),1991,Shiv-Hari,Anand Bakshi,Lata,,
1990s,moranii baagaa maa bole aadhii raatamaa -  View,Lamhe (1991),1991,Shiv-Hari,Anand Bakshi,Lata, Ila Arun,
1990s,pa.nchhii baadal premii ke paagal ham kaun hai.n saa... -  View,Lamhe (1991),1991,Shiv-Hari,Anand Bakshi,Lata, Suresh Wadkar,
1990s,sapanaa meraa sach ho gayaa ... kabhii mai.n kahuu.n... -  View,Lamhe (1991),1991,Shiv-Hari,Anand Bakshi,Lata, Hariharan,
1990s,merii bi.ndiyaa terii ni.ndiyaa na u.Daa de to kahanaa -  View,Lamhe (1992),1992,Shiv-Hari,Anand Bakshi,Lata,,
1960s,ek shahanshaah ne banavaa ke hasii.n taajamahal -  View,Leader (1964),1964,Naushad,Shakeel,Lata, Rafi,
1960s,aaj hai pyaar kaa faisalaa ai sanam -  View,Leader (1964),1964,Naushad,Shakeel,Lata,,
1990s,kesariyaa baalamaa o rii -  View,Lekin (1990),1990,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,mai.n ek sadii se baiThii huu.N -  View,Lekin (1990),1990,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,suniyo jii araj mhaarii o baabulaa hamar -  View,Lekin (1990),1990,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,yaaraa siili siili birahaa kii raata kaa jalanaa -  View,Lekin (1990),1990,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,mohe na_ihar se ab to bulaay le piyaa -  View,Lekin (1990s),990s,Hridaynath Mangeshkar,Vasant Dev,Lata,,
1990s,phir kisii shaaK ne phe.nkii chhaa.Nv -  View,Libaas (1991),1991,R D Burman,Gulzar,Lata,,
1990s,"siilii havaa chhuu ga_ii, siilaa badan chhil gayaa -  View",Libaas (1991),1991,R D Burman,Gulzar,Lata,,
1970s,mai.n tere ishq me.n mar na jaauu.N kahii.n -  View,Loafer (1973),1973,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,koii matavaalaa aayaa mere dvaare -  View,Love In Tokyo (1966),1966,Shankar-Jaikishan,Shailendra,Lata,,
1960s,mujhe tum mil ga_e hamadam sahaaraa ho to aisaa ho -  View,Love In Tokyo (1966),1966,Shankar-Jaikishan,Hasrat,Lata,,
1950s,kahe jhuum\-jhuum raat ye suhaanii -  View,Love Marriage (1959),1959,Shankar-Jaikishan,Shailendra,Lata,,
1980s,ye la.Dakii zaraa sii diivaanii lagatii hai -  View,Love Story (1981),1981,R D Burman,Anand Bakshi,Lata, Amit Kumar,
2000s,shaayad yahii to pyaar hai -  View,Lucky - No Time For Love (2005),2005,Adnan Sami,Sameer,Lata, Adnan Sami,
1960s,kisii ko pataa na chale baat kaa ki hai aaj vaadaa m... -  View,Lutera (1965),1965,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,nii.nd nigaaho.n kii kho jaatii hai mohabbat -  View,Lutera (1965),1965,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,raat se kaho ruke zaraa -  View,Lutera (1965),1965,Laxmikant-Pyarelal,Asad Bhopali,Lata,,
1960s,sanam raah bhuule yahaa.N aate\-aate -  View,Lutera (1965),1965,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,zaraa jhuumane do ... mujhe dekhi_e mai.n ko_ii daas... -  View,Lutera (1965),1965,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1950s,mujhe bhii maut kaa paigaam -  View,Luteraa (1955),1955,C Ramachandra,Rajinder Krishan,Lata,,
1960s,man meraa u.Dataa jaa_e -  View,Maa Beta (1962),1962,Hemant,Prem Dhawan,Lata,,
1940s,tuune jahaa.N banaa kar ehsaan kyaa kiyaa hai -  View,Maa Ka Pyar (1949),1949,Govind Ram,I C Kapoor,Lata,,
1990s,yaad na aaye koii -  View,Maachis (1996),1996,Vishal,Gulzar,Lata,,
1990s,"bheje kahaar, piyaa jii bulaa lo -  View",Maachis (1996),1996,Vishal,Gulzar,Lata,,
1950s,muhabbat ne kyaa kyaa tamaashe dikhaaye -  View,Maalkin (1953),1953,Roshan,Rajinder Krishan,Lata,,
1950s,"o piyaa, meraa bholaa jiyaa kaahe tuune liyaa -  View",Maalkin (1953),1953,Roshan,Rajinder Krishan,Lata, Kishore,
1950s,unako apanaa banaa ke chho.D diyaa -  View,Maalkin (1953),1953,Roshan,Rajinder Krishan,Lata,,
1950s,koii banaa aaj apanaa -  View,Maalti Maadhav (1951),1951,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1950s,mai.n yauvan ban kii kalii -  View,Maalti Maadhav (1951),1951,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1950s,man me.n mere a.ngaare hai.n -  View,Maalti Maadhav (1951),1951,Sudhir Phadke,Pt. Narendra Sharma,Lata, Sudhir Phadke,
1950s,man sau.np diyaa an_jaane me.n -  View,Maalti Maadhav (1951),1951,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1950s,baa.Ndh priiti phuul Dor -  View,Maalti Maadhav (1951),1951,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1950s,guzaraa huaa ulafat kaa zamaanaa -  View,Maan (1954),1954,Anil Biswas,Dr Safdar 'Aah',Lata,,
1950s,kah do ki muhabbat se naa Takaraaye zamaanaa -  View,Maan (1954),1954,Anil Biswas,Kaif Bhopali,Lata,,
1950s,mere pyaar me.n tujhe kyaa milaa mere devataa mujhe ... -  View,Maan (1954),1954,Anil Biswas,Raja Mehdi Ali Khan,Lata,,
1950s,phailii hai Kabar aaj ye -  View,Maan (1954),1954,Anil Biswas,Kaif Bhopali,Lata,,
1960s,muhabbat jis ko kahate hai.n vo ik dha.Dakan puraani... -  View,Maan Beta (1962),1962,Hemant Kumar,Prem Dhawan,Lata, Hemant,
1970s,o mitavaa badaraa chhaaye re -  View,Maan Jaaiye (1972),1972,Jaidev,Naqsh Lyallpuri,Lata,,
1950s,aa_o baiTho baat suno kuchh pyaar kare.n -  View,Maang (1950),1950,Ghulam Mohammad,Sageer Usmani,Lata, G M Durrani,
1990s,ik hasii.n nigaah kaa dil pe saayaa hai -  View,Maayaa Memsaab (1992),1992,Hridaynath Mangeshkar,Gulzar,Kumar Sanu ,Lata,
1990s,is dil me.n bas kar dekho to ye shahar ba.Daa puraan... -  View,Maayaa Memsaab (1992),1992,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,"khud se baate.n karate rahanaa, baate.n karate rahanaa -  View",Maayaa Memsaab (1992),1992,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,mere sar_haane jalaao sapane -  View,Maayaa Memsaab (1992),1992,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,o dil ba.njaare jaa re khol Doriyaa.N sab khol de -  View,Maayaa Memsaab (1992),1992,Hridaynath Mangeshkar,Gulzar,Lata,,
1990s,chhaayaa jaagii -  View,Maayaa Memsaab (1992),1992,Hridaynath Mangeshkar,Gulzar,Lata, Hridaynath,
1950s,jaaduu bharii ye chaa.Ndanii ye pyaar kaa samaa -  View,Madam XYZ (1959),1959,Chitragupt,Prem Dhawan,Lata,,
1950s,kuchh merii nazar madahosh hai -  View,Madam XYZ (1959),1959,Chitragupt,Prem Dhawan,Lata,,
1950s,maane naa maane naa manamohana -  View,Madam XYZ (1959),1959,Chitragupt,Prem Dhawan,Lata,,
1950s,qadam qadam pe bahaare.n luTaataa -  View,Madam XYZ (1959),1959,Chitragupt,Prem Dhawan,Lata, Rafi,
1950s,aa palako.n me.n aa -  View,Madbhare Nain (1955),1955,S D Burman,Shailendra,Lata,,
1950s,man pa.nchhii alabelaa -  View,Madbhare Nain (1955),1955,S D Burman,Shailendra,Lata,,
1950s,hame.n ho gayaa tumase pyaar bedardii baalamaa -  View,Madhosh (1951),1951,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1950s,mere dil kii nagariyaa me.n aanaa -  View,Madhosh (1951),1951,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1950s,dhaanii chunar morii haay re -  View,Madhu (1959),1959,Roshan,Naqsh Lyallpuri,Lata,,
1950s,bataa do koii kaun galii gaye shyaam -  View,Madhu (1959),1959,Roshan,Shailendra,Lata,,
1950s,"aa jaa re, paradesii, mai.n to kab se kha.Dii is paar -  View",Madhumati (1958),1958,Salil Chowdhury,Shailendra,Lata,,
1950s,gha.Dii gha.Dii meraa dil dha.Dake -  View,Madhumati (1958),1958,Salil Chowdhury,Shailendra,Lata,,
1950s,o bichhu_aa piipal chhai.nyaa ... daiyaa re daiyaa r... -  View,Madhumati (1958),1958,Salil Chowdhury,Shailendra,Lata, Manna Day,
1950s,"zulmii sa.ng aa.Nkh la.Dii, zulmii sa.ng aa.Nkh la.D... -  View",Madhumati (1958),1958,Salil Chowdhury,Shailendra,Lata,,
1950s,kab biit gayii jiivan kii subah -  View,Madmast (1953),1953,V Balsara,Madhuraj,Lata,,
1950s,sunaa_e.N haal\-e\-dil kyaa ham hamaaraa -  View,Madmast (1953),1953,V Balsara,Madhuraj,Lata,,
1950s,tumhe.n aur kyaa duu.N mai.n dil ke sivaa -  View,Magroor (1950),1950,Shankar-Jaikishan,Hasrat,Lata,,
1970s,pyaar ke din ... mai.n tumase pyaar karatii huu.N -  View,Maha Chor (1976),1976,R D Burman,Anand Bakshi,Lata, Kishore,
1980s,baawaraa kanhaiyaa dekho mujhako pukaare aake dvaare -  View,Mahaananda (1984),1984,Manas Mukherjee,,Lata,,
1940s,"aaegaa aaegaa aaegaa, aaegaa aanevaalaa, aaegaa aaeg... -  View",Mahal (1949),1949,Khemchand Prakash,Nakshab,Lata,,
1940s,dil ne phir yaad kiyaa bewafaa lauT bhii aa -  View,Mahal (1949),1949,Khemchand Prakash,Nakshab,Lata,,
1940s,mushkil hai bahut mushkil chaahat kaa bhulaa denaa -  View,Mahal (1949),1949,Khemchand Prakash,Nakshab,Lata,,
1970s,tumase bichha.D ke chain kahaa.N ham paae.Nge -  View,Maharaja (1970),1970,Madan Mohan,Kaifi Azmi,Lata,,
1960s,chandaa se hogaa vo pyaaraa -  View,Main Bhi Ladki Hoon (1964),1964,Chitragupt,Rajinder Krishan,Lata, P B Srinivas,
1960s,koii bataa de dil hai jahaa.N -  View,Main Chup Rahungi (1962),1962,Chitragupt,Rajinder Krishan,Lata, Rafi,
1960s,mere dil kabhii to ko_ii aayegaa -  View,Main Chup Rahungi (1962),1962,Chitragupt,Rajinder Krishan,Lata,,
1960s,ai dil machal machal ke yuu.N -  View,Main Suhagan Hoon (1964),1964,Lachchhi Ram,Bootaram Sharma,Lata,,
1970s,aaj mai.n javaan ho ga_ii huu.N -  View,Main Sundar Hoon (1971),1971,Shankar-Jaikishan,Anand Bakshi,Lata,,
1970s,mai.n tulasii tere aa.Ngan kii -  View,Main Tulsi Tere Aangan Ki (1978),1978,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1980s,"aate jaate, ha.Nsate gaate -  View",Maine Pyaar Kiyaa (1989),1989,Ram Laxman,Dev Kohli,Lata, S P Balasubramaniam,
1980s,"tum la.Dakii ho, mai.n la.Dakaa huu.N -  View",Maine Pyaar Kiyaa (1989),1989,Ram Laxman,Asad Bhopali,Lata, S P Balasubramaniam, Ush
1980s,dil divaanaa bin sajanaa ke maane naa -  View,Maine Pyaar Kiyaa (1989),1989,Ram Laxman,Asad Bhopali,S P Balasubramaniam ,Lata,
1980s,"kabuutar jaa, jaa, jaa -  View",Maine Pyaar Kiyaa (1989),1989,Ram Laxman,Asad Bhopali,Lata, S P Balasubramaniam,
1940s,ab Darane kii ko_ii baat nahii.n a.ngarejii chhoraa ... -  View,Majboor (1948),1948,Ghulam Haider,Naajim Panipati,Lata, Mukesh,
1940s,dil meraa to.Daa -  View,Majboor (1948),1948,Ghulam Haider,Nazim Panipati,Lata,,
1970s,dekhaa phuulo.n ko ... nahii.n mai.n nahii.n dekh sa... -  View,Majboor (1974),1974,Laxmikant-Pyarelal,Anand Bakshi,Kishore,Lata,
1950s,garajat barasat bhiijat aa_ii lo -  View,Malhaar (1951),1951,Roshan,Traditional,Lata,,
1950s,koii to sune mere Gam kaa fasaanaa -  View,Malhaar (1951),1951,Roshan,Shyam Lal,Lata,,
1950s,muhabbat kii qisamat banaane se pahale -  View,Malhaar (1951),1951,Roshan,Kaif Irfani,Lata,,
1960s,"rahate the kabhii jinake dil me.n, ham jaan se bhii ... -  View",Mamta (1966),1966,Roshan,Majrooh,Lata,,
1960s,"vikal moraa manavaa, tum bin haay -  View",Mamta (1966),1966,Roshan,Majrooh,Lata,,
1960s,chaahe to moraa jiyaa la_i le -  View,Mamta (1966),1966,Roshan,Majrooh,Lata,,
1960s,"chhupaa lo yuu.N dil me.n pyaar meraa, ke jaise ma.n... -  View",Mamta (1966),1966,Roshan,Majrooh,Lata, Hemant,
1970s,jaaduugar tere nainaa dil jaayegaa bachake kahaa.N -  View,Man Mandir (1971),1971,Laxmikant-Pyarelal,Rajinder Krishan,Lata, Kishore,
1960s,"mai.n to tum sa.ng, nain milaa ke -  View",Manmauji (1962),1962,Madan Mohan,Rajinder Krishan,Lata,,
1960s,cha.ndaa jaa re jaa re -  View,Manmauji (1962),1962,Madan Mohan,Rajinder Krishan,Lata,,
1970s,goyaa ke chunaa.Nche -  View,Manoranjan (1974),1974,R D Burman,Anand Bakshi,Lata, Kishore, Manna Dey
1950s,aa.Nkho.n se duur duur -  View,Mashal (1950),1950,S D Burman,Pradeep,Lata,,
1950s,mere man ha.Nsate hue chal -  View,Mashal (1950),1950,S D Burman,Pradeep,Lata,,
1970s,ruke ruke se kadam ruk ke baar baar chale -  View,Mausam (1975),1975,Madan Mohan,Gulzar,Lata,,
1960s,"jaa re, jaa re u.D jaa re pa.nchhii, bahaaro.n ke de... -  View",Maya (1961),1961,Salil Chowdhury,Majrooh,Lata,,
1960s,ai dil kahaa.N terii ma.nzil -  View,Maya (1961),1961,Salil Chowdhury,Majrooh,Dwijen Mukherjee ,Lata,
1960s,"tasaviir terii dil me.n, jis din se utaarii hai -  View",Maya (1961),1961,Salil Chowdhury,Majrooh,Lata, Rafi,
1950s,"mai.n to chaluu.N pashchhim, puurab chale duniyaa -  View",Mayur Pankh (1953),1953,Shankar-Jaikishan,Shailendra,Lata,,
1950s,mubaarakabaad dene ko ... Khushiyo.n ke chaa.Nd musk... -  View,Mayur Pankh (1953),1953,Shankar-Jaikishan,Hasrat,Lata,,
1950s,muhabbat kii daastaa.N aaj suno -  View,Mayur Pankh (1953),1953,Shankar-Jaikishan,Hasrat Jaipuri,Lata,,
1950s,mushkil hai pyaar chhupaanaa tandaanaa -  View,Mayur Pankh (1953),1953,Shankar-Jaikishan,Shailendra,Lata, Chorus,
1950s,tuu kyuu.N mujhako pukaare -  View,Mayur Pankh (1953),1953,Shankar-Jaikishan,Hasrat,Lata,,
1950s,ye barakhaa bahaar ... na jaa more saa.Nware piyaa -  View,Mayur Pankh (1953),1953,Shankar-Jaikishan,Shailendra,Lata, Asha,
1950s,zaraa mu.D ke to dekho saajanaa -  View,Meenaar (1954),1954,C Ramachandra,Rajinder Krishan,Lata, Talat,
1970s,"saa.Nvare mat jaa, mat jaa, mat jaa -  View",Meera Shyam (1976),1976,Govind-Naresh,Narendra Sharma,Lata,,
1970s,itanaa to yaad hai mujhe ki unase mulaaqaat huii -  View,Mehboob Ki Mehandi (1971),1971,Laxmikant-Pyarelal,Anand Bakshi,Lata, Rafi,
1970s,jaane kyo.n log muhabbat kiyaa karate hai.n -  View,Mehboob Ki Mehandi (1971),1971,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,jamunaa kinaare aajaa chhaliyaa pukaare aajaa -  View,Mehbooba (1976),1976,R D Burman,Anand Bakshi,Lata,,
1970s,aapake shahar me.n ... mai.n tawaayaf huu.N -  View,Mehbooba (1976),1976,R D Burman,Anand Bakshi,Lata,,
1950s,aa ke ab aataa nahii.n dil ko qaraar -  View,Mehboobaa (1954),1954,Roshan,Tanvir Naqvi,Lata,,
1970s,"mere nainaa saavan bhaado.n, phir bhii meraa man pya... -  View",Mehboobaa (1976),1976,R D Burman,Anand Bakshi,Kishore ,Lata,
1970s,"parabat ke piichhe, chambe daa gaa.Nv -  View",Mehboobaa (1976),1976,R D Burman,Anand Bakshi,Lata, Kishore,
1950s,pyaar kii duniyaa luTegii hame.n maaluum na thaa -  View,Mehndi (1958),1958,Ravi,Khumar Barabankwi,Lata,,
1950s,ye afasaanaa nahii.n hai -  View,Mehndi (1958),1958,Ravi,Qamil Rashid,Lata,,
1960s,meha.ndii lagii mere haath re -  View,Mehndi Lagi Mere Haath (1962),1962,Kalyanji-Anandji,Anand Bakshi,Lata,,
1960s,raato.n ko jab nii.nd u.D jaae -  View,Mem Didi (1961),1961,Salil Chowdhury,Shailendra,Lata, Chorus,
1960s,"badhaa_ii ho badhaa_ii, janamadin kii tumako -  View",Mera Munna (1967),1967,Kalyanji-Anandji,Qamar Jalalabadi,Lata, Chorus,
1960s,"naino.n me.n badaraa chhaae, bijalii sii chamake haae -  View",Mera Saaya (1966),1966,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1960s,"naino.n vaalii ne, haay meraa dil luuTaa -  View",Mera Saaya (1966),1966,Madan Mohan,Raja Mehdi Ali Khan,Lata, Sunil Dutt, Sadhna
1960s,"tuu jahaa.N jahaa.N chalegaa, meraa saayaa, saath ho... -  View",Mera Saaya (1966),1966,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1970s,aayaa aayaa aTariyaa pe koii chor -  View,Meraa Gaaon Meraa Desh (1971),1971,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,haay sharamaauu.N ... apanii prem kahaaniyaa.N -  View,Meraa Gaaon Meraa Desh (1971),1971,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,"roz akelii aa_e, roz akelii jaae -  View",Mere Apne (1971),1971,Salil Chowdhury,Gulzar,Lata,,
1960s,chalo sajanaa jahaa.N tak ghaTaa chale -  View,Mere Hamdam Mere Dost (1968),1968,Laxmikant-Pyarelal,Majrooh,Lata,,
1970s,meraa paradesii na aayaa -  View,Mere Humsafar (1970),1970,Kalyanji-Anandji,Anand Bakshi,Lata,,
