Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1950s,diivaanaa ye paravaanaa shammaa pe aayaa -  View,Albela (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Chitalkar, Chorus
1950s,dil dha.Dake nazar sharamaaye to samajho -  View,Albela (1951),1951,C Ramachandra,Rajinder Krishan,Lata,,
1950s,mere dil kii gha.Dii kare Tik-Tik-Tik -  View,Albela (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Chitalkar,
1950s,"sholaa jo bha.Dake dil meraa dha.Dake, dard javaanii... -  View",Albela (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Chitalkar,
1950s,balamaa ba.Daa naadaan re -  View,Albela (1951),1951,C Ramachandra,Rajinder Krishan,Lata,,
1950s,"bholii suurat dil ke khoTe, naam ba.De aur darashan ... -  View",Albela (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Chitalkar, Chorus
1970s,ai mere dil mat kar kisii pe aitabaar -  View,Albelaa (1971),1971,Shankar-Jaikishan,Hasrat,Kishore,Lata,
1980s,saare shahar me.n ek hasii.n hai -  View,Alibaaba Aur 40 Chor (1980),1980,R D Burman,Anand Bakshi,Lata, Asha,
1980s,aajaa sar-e-baazaar teraa pyaar bik rahaa hai -  View,Alibaba Aur 40 Chor (1980),1980,R D Burman,Anand Bakshi,Lata,,
1950s,bahaar aa_ii khilii kaliyaa.N -  View,Alif Lailaa (1953),1953,Shyam Sundar,Sahir,Lata,,
1950s,jaane vaale se mulaaqaat naa hone paa_ii -  View,Amar (1954),1954,Naushad,Shakeel,Lata,,
1950s,Kaamosh hai khevanahaar meraa naiyyaa merii Duubii j... -  View,Amar (1954),1954,Naushad,Shakeel,Lata,,
1950s,na milataa Gam to barabaadii ke afasaane kahaa.N jaate -  View,Amar (1954),1954,Naushad,Shakeel,Lata,,
1950s,na shikawaa hai koii -  View,Amar (1954),1954,Naushad,Shakeel Badayuni,Lata,,
1950s,tere sadake balam na kar koii Gam -  View,Amar (1954),1954,Naushad,Shakeel,Lata,,
1950s,uma.ngo.n ko sakhii pii kii nagariyaa kaise le jaauu.N -  View,Amar (1954),1954,Naushad,Shakeel,Lata,,
1950s,dil kii duniyaa basaa ke saa.Nvariyaa -  View,Amar Deep (1958),1958,C Ramachandra,Rajinder Krishan,Lata,,
1950s,mere man kaa baavaraa pa.nchhii kyo.n baar baar Dole -  View,Amar Deep (1958),1958,C Ramachandra,Rajinder Krishan,Lata,,
1960s,kalpanaa ke ghana barasate -  View,Amar Jyoti (1965),1965,Vasant Desai,Bharat Vyas,Lata, Mahendra Kapoor,
1970s,"rainaa biitii jaaye, shyaam naa aaye -  View",Amar Prem (1971),1971,R D Burman,Anand Bakshi,Lata,,
1970s,"ba.Daa naTakhaT hai re kR^ishhN\-kanhaiyyaa, kaa kar... -  View",Amar Prem (1971),1971,R D Burman,Anand Bakshi,Lata,,
1960s,jhuume morii beliyaa priit re -  View,Amar Shaheed (1960),1960,Jamal Sen,Arjun,Lata, Manna De,
1950s,duniyaa me.n nahii.n ... zamaanaa sach kahataa hai -  View,Ambar (1952),1952,Ghulam Mohammad,Shakeel,Lata, Rafi,
1950s,ham pyaar tumhii.n se karate hai.n -  View,Ambar (1952),1952,Ghulam Mohammad,Shakeel,Lata,,
1950s,"TuuTegii na pyaar kii Dor, duniyaa chaahe lagaa le zor -  View",Ambar (1952),1952,Ghulam Mohammad,Shakeel,Lata,,
1980s,paas rahataa hai duur rahataa hai -  View,Ameer Aadmi Gareeb Aadmi (1985),1985,R D Burman,Nida Fazli,Lata,,
1960s,"jaao re, jogii tum jaao re -  View",Amrapali (1966),1966,Shankar-Jaikishan,Shailendra,Lata,,
1960s,tumhe.n yaad karate karate jaaegii rain saarii -  View,Amrapali (1966),1966,Shankar-Jaikishan,Shailendra,Lata,,
1950s,teraa jaanaa dil ke aramaano.n kaa luT jaanaa -  View,Anaadi (1959),1959,Shankar-Jaikishan,Shailendra,Lata,,
1950s,ban ke pa.nchhii gaa_e.N pyaar kaa taraanaa -  View,Anaadi (1959),1959,Shankar-Jaikishan,Hasrat,Lata,,
1950s,aa jaa ab to aajaa merii qismat ke Kariidaar -  View,Anaarkali (1953),1953,C Ramachandra,Shailendra,Lata,,
1950s,"duaa kar Gam\-e\-dil, khudaa se duaa kar -  View",Anaarkali (1953),1953,C Ramachandra,Shailendra,Lata,,
1950s,muhabbat aisii dha.Dakan hai -  View,Anaarkali (1953),1953,C Ramachandra,Hasrat,Lata,,
1950s,muhabbat me.n aise qadam Dagamagaa_e -  View,Anaarkali (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,mujh se mat puuchh mere ishq me.n kyaa rakhaa hai -  View,Anaarkali (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,"ye zi.ndagii usiiki hai, jo kisii kaa ho gayaa -  View",Anaarkali (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,zindagii bebas hu_ii hai ... o aasamaan waale -  View,Anaarkali (1953),1953,C Ramachandra,Hasrat,Lata,,
1970s,"baaho.n me.n chale aao, hamase sanam kyaa paradaa -  View",Anamika (1973),1973,R D Burman,Majrooh,Lata,,
1970s,"na jiyaa laage na tere binaa meraa kahii.n, jiyaa la... -  View",Anand (1970),1970,Salil Chowdhury,Gulzar,Lata,,
1940s,daa dir daaraa ... merii laaDalii rii merii laaDalii... -  View,Andaz (1949),1949,Naushad,Majrooh,Lata, Chorus,
1940s,Dar naa mohabbat kar le -  View,Andaz (1949),1949,Naushad,Majrooh,Lata, Shamshad Begum,
1940s,koii mere dil me.n Kushii banake aayaa -  View,Andaz (1949),1949,Naushad,Majrooh,Lata,,
1940s,sun lo dil kaa afasaanaa -  View,Andaz (1949),1949,Naushad,Majrooh,Lata, Rafi,
1940s,to.D diyaa dil meraa tuune are bewafaa -  View,Andaz (1949),1949,Naushad,Majrooh,Lata,,
1940s,uThaaye jaa unake sitam aur jiye jaa -  View,Andaz (1949),1949,Naushad,Majrooh,Lata,,
1950s,pyaar bharii dha.Dakano.n ke haar leke aa_uu.Ngii -  View,Angaarey (1954),1954,S D Burman,Sahir,Lata,,
1950s,raajadulaarii biTiyaa rii tohe -  View,Angaarey (1954),1954,S D Burman,Sahir,Lata, Chorus,
1950s,ummiid kii jholii me.n -  View,Angaarey (1954),1954,S D Burman,Sahir,Lata,,
1950s,unhe.n kho kar dukhii dil kii duaa se aur kyaa maa.N... -  View,Angaarey (1954),1954,S D Burman,Sahir,Lata,,
1950s,us bastii ko jaanewaale -  View,Angaarey (1954),1954,S D Burman,Sahir,Lata,,
1960s,aa_ii aa_ii basa.ntii belaa -  View,Angulimaal (1960),1960,Anil Biswas,Bharat Vyas,Lata, Manna Dey, Meena Kapoor
1960s,tere man me.n kaun ... jaa rii na bata_uu.N mai.n to -  View,Angulimaal (1960),1960,Anil Biswas,Bharat Vyas,Lata, Meena Kapoor, Chorus
1950s,is dil kii haalat kyaa kahiye -  View,Anhonee (1952),1952,Roshan,Sardar Jaafri,Lata,,
1950s,zindagii badalii mohabbat kaa mazaa aane lagaa -  View,Anhonee (1952),1952,Roshan,Nakhshab Jaaravchi,Lata, Rajkumari,
1960s,mai.n dekhuu.N jis or sakhii rii saamane mere saa.Nv... -  View,Anita (1967),1967,Laxmikant-Pyarelal,Raja Mehdi Ali Khan,Lata,,
1960s,qariib aa ye nazar phir mile mile naa mile -  View,Anita (1967),1967,Laxmikant-Pyarelal,Raja Mehdi Ali Khan,Lata,,
1950s,din chhip gayaa nikale taare -  View,Anjaan (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,kahaa.N chho.D ke chalaa hai tuu -  View,Anjaan (1956),1956,Hemant Kumar,Rajinder Krishan,Lata,,
1960s,"ham bahano.n ke li_e, mere bhaiyaa, aataa hai ek din -  View",Anjaana (1969),1969,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1950s,jiyaraa haule-haule Dol -  View,Anjali (1957),1957,Jaidev,Nyaya Sharma,Lata,,
1950s,kis kisako diipak pyaar kare -  View,Anjali (1957),1957,Jaidev,Nyaya Sharma,Lata, Chorus,
1990s,ho ho aahaa ... dil kii lagii kahii jaa_e naa sajana... -  View,Anmol (1993),1993,Ram Laxman,Dev Kohli,Lata,,
1990s,sun sun sun mere saathiyaa -  View,Anmol (1993),1993,Ram Laxman,Dev Kohli,Lata,,
1950s,"taare vohii hai.n, chaa.Nd vohii hai -  View",Anmol Ratan (1950),1950,Vinod,D N Madhok,Lata,,
1970s,raato.n ke saaye ghane jab bojh dil par bane -  View,Annadaataa (1972),1972,Salil Chowdhury,Yogesh,Lata,,
1940s,ai dil merii vafaa me.n koii asar nahii.n hai -  View,Anokha Pyar (1948),1948,Anil Biswas,Shams Azimabadi,Lata, Ira Nagrath,Meena Kapoor
1940s,bholaa bhaalaa rii moraa balamaa na jaane -  View,Anokha Pyar (1948),1948,Anil Biswas,Zia Sarhadi,Lata,Meena Kapoor,
1940s,gha.Dii gha.Dii puuchho naa jii -  View,Anokha Pyar (1948),1948,Anil Biswas,G S Nepali,Lata,,
1940s,ik dil kaa lagaanaa baaqii thaa -  View,Anokha Pyar (1948),1948,Anil Biswas,Zia Sarhadi,Lata,,
1940s,jiivan sapanaa TuuT gayaa -  View,Anokha Pyar (1948),1948,Anil Biswas,Zia Sarhadi,Lata,,
1940s,mere phuulo.n me.n chhipii hai javaanii -  View,Anokha Pyar (1948),1948,Anil Biswas,Behzad Lucknowi,Lata,,
1970s,madabharii ye hawaae.n paas aae.n -  View,Anokhaa Daan (1972),1972,Salil Chowdhury,Gulzar,Lata,,
1970s,hame.n yaad kabhii tum kar lenaa -  View,Anokhaa Daan (1972),1972,Salil Chowdhury,Yogesh,Lata,,
1970s,tere dil me.n zaraa sii jagah agar mile -  View,Anokhi Ada (1973),1973,Laxmikant-Pyarelal,Majrooh,Lata, Rafi,
1960s,mahalo.n kaa raajaa milaa -  View,Anokhi Raat (1968),1968,Roshan,Indeevar,Lata,,
1960s,"hai isii me.n pyaar kii aabaruu, vo jafaa kare.n mai... -  View",Anpadh (1962),1962,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1960s,"jiyaa le gayo jii moraa saa.nvariyaa, laagii man me.... -  View",Anpadh (1962),1962,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1960s,ra.ng\-bira.ngii raakhii leke aa_ii bahanaa -  View,Anpadh (1962),1962,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1960s,aap kii nazaro.n ne samajhaa -  View,Anpadh (1962),1962,Madan Mohan,Raja Mehdi Ali Khan,Lata,,
1960s,"kuchh dil ne kahaa, kuchh bhii nahii.n -  View",Anupama (1966),1966,Hemant Kumar,Kaifi Azmi,Lata,,
1960s,dhiire dhiire machal ai dil\-e\-beqaraar -  View,Anupama (1966),1966,Hemant Kumar,Kaifi Azmi,Lata,,
1960s,bahut din hu_e ... samaa alabelaa -  View,Anuraadhaa (1960),1960,Ravi Shankar,Shailendra,Lata, Manna Dey, Mahendra Kapoor
1970s,meraa raajaa beTaa buujhe ek pahelii -  View,Anuraag (1972),1972,S D Burman,Anand Bakshi,Lata,,
1970s,"nii.nd churaaye, chain churaaye -  View",Anuraag (1972),1972,S D Burman,Anand Bakshi,Lata,,
1970s,"sun rii pavan, pavan purvaiyyaa, mai.n huu.N akelii ... -  View",Anuraag (1972),1972,S D Burman,Anand Bakshi,Lata,,
1960s,haay re vo dinaa -  View,Anuradha (1960),1960,Pt Ravishankar,Shailendra,Lata,,
1960s,jaane kaise sapano.n me.n kho ga_ii a.Nkhiyaa.N -  View,Anuradha (1960),1960,Ravi Shankar,Shailendra,Lata,,
1960s,"kaise din biite, kaise biitii ratiyaa -  View",Anuradha (1960),1960,Pt Ravishankar,Shailendra,Lata,,
1960s,"saa.Nvare, saa.Nvare -  View",Anuradha (1960),1960,Pt Ravishankar,Shailendra,Lata,,
1960s,baa_adab baamulaahizaa hoshiyaar -  View,Aplam Chaplam (1961),1961,Chitragupt,Prem Dhawan,Lata, Talat, Chorus
1970s,ga.ngaa me.n Duubaa na jamanaa me.n Duubaa -  View,Apne Rang Hazaar (1975),1975,Laxmikant-Pyarelal,Anjaan,Lata,,
1960s,"cha.ndaa hai tuu, meraa suuraj hai tuu -  View",Aradhana (1969),1969,S D Burman,Anand Bakshi,Lata,,
1970s,tan\-man tere ra.ng\-ra.nguu.Ngii -  View,Archanaa (1973),1973,Shankar-Jaikishan,Neeraj,Lata,,
1950s,teraa khat le ke sanam -  View,Ardhaangini (1959),1959,Vasant Desai,Majrooh,Lata,,
1980s,saa gaa paa re â€¦ munnii pappuu bhuurii bhuuri... -  View,Arjun (1985),1985,R D Burman,,Lata,,
1970s,bolo priitam kyaa bolii thii mai.n aage re -  View,Arjun Pandit (1976),1976,S D Burman,Majrooh,Lata,,
1980s,parades jaa ke paradesiyaa bhuul na jaanaa piyaa -  View,Arpan (1983),1983,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1980s,taubaa kaise hai.n naadaan ghu.Ngharuu paayal ke -  View,Arpan (1983),1983,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1950s,jaanaa naa dil se duur -  View,Arzoo (1950),1950,Anil Biswas,Majrooh,Lata,,
